K0_number	Gene_identification	Label
K02728	PSMA4; 20S proteasome subunit alpha 3 [EC:3.4.25.1]	PSMA4; 20S proteasome subunit alpha 3 [EC:3.4.25.1]
K19502	ANO8, TMEM16H; anoctamin-8	ANO8, TMEM16H; anoctamin-8
K05293	PIGU; phosphatidylinositol glycan, class U	PIGU; phosphatidylinositol glycan, class U
K04596	BAI1; brain-specific angiogenesis inhibitor 1	BAI1; brain-specific angiogenesis inhibitor 1
K02981	RP-S2e, RPS2; small subunit ribosomal protein S2e	RP-S2e, RPS2; small subunit ribosomal protein S2e
K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]
K01874	MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]	MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]
K19750	DNAAF1, LRRC50, ODA7; dynein assembly factor 1, axonemal	DNAAF1, LRRC50, ODA7; dynein assembly factor 1, axonemal
K05850	ATP2B; Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]	ATP2B; Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]
K00844	HK; hexokinase [EC:2.7.1.1]	Glycolysis
K00844	HK; hexokinase [EC:2.7.1.1]	HK; hexokinase [EC:2.7.1.1]
K03061	PSMC2, RPT1; 26S proteasome regulatory subunit T1	PSMC2, RPT1; 26S proteasome regulatory subunit T1
K02984	RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae	RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae
K06115	SPTB; spectrin beta	SPTB; spectrin beta
K14328	UPF3, RENT3; regulator of nonsense transcripts 3	UPF3, RENT3; regulator of nonsense transcripts 3
K13210	FUBP; far upstream element-binding protein	FUBP; far upstream element-binding protein
K07119	K07119; uncharacterized protein	K07119; uncharacterized protein
K19668	CBH2, cbhA; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	CBH2, cbhA; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]
K01081	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
K01225	CBH1; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	CBH1; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]
K08334	BECN1, VPS30, ATG6; beclin 1	BECN1, VPS30, ATG6; beclin 1
K08311	nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]	nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K00939	adk, AK; adenylate kinase [EC:2.7.4.3]	adk, AK; adenylate kinase [EC:2.7.4.3]
K06942	ychF; ribosome-binding ATPase	ychF; ribosome-binding ATPase
K07376	PRKG1; cGMP-dependent protein kinase 1 [EC:2.7.11.12]	PRKG1; cGMP-dependent protein kinase 1 [EC:2.7.11.12]
K01049	ACHE; acetylcholinesterase [EC:3.1.1.7]	ACHE; acetylcholinesterase [EC:3.1.1.7]
K01530	E3.6.3.1; phospholipid-translocating ATPase [EC:3.6.3.1]	E3.6.3.1; phospholipid-translocating ATPase [EC:3.6.3.1]
K17943	PUM; pumilio RNA-binding family	PUM; pumilio RNA-binding family
K17907	ATG9; autophagy-related protein 9	ATG9; autophagy-related protein 9
K01698	hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]	hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]
K09584	PDIA6, TXNDC7; protein disulfide-isomerase A6 [EC:5.3.4.1]	PDIA6, TXNDC7; protein disulfide-isomerase A6 [EC:5.3.4.1]
K02877	RP-L15e, RPL15; large subunit ribosomal protein L15e	RP-L15e, RPL15; large subunit ribosomal protein L15e
K12611	DCP1B; mRNA-decapping enzyme 1B [EC:3.-.-.-]	DCP1B; mRNA-decapping enzyme 1B [EC:3.-.-.-]
K12164	UBA5, UBE1DC1; ubiquitin-like modifier-activating enzyme 5	UBA5, UBE1DC1; ubiquitin-like modifier-activating enzyme 5
K04565	SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]	SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
K17279	REEP5_6; receptor expression-enhancing protein 5/6	REEP5_6; receptor expression-enhancing protein 5/6
K00510	HMOX, hmuO, ho; heme oxygenase (biliverdin-producing) [EC:1.14.14.18]	HMOX, hmuO, ho; heme oxygenase (biliverdin-producing) [EC:1.14.14.18]
K19673	TTC21B, IFT139; tetratricopeptide repeat protein 21B	TTC21B, IFT139; tetratricopeptide repeat protein 21B
K17424	MRPL43; large subunit ribosomal protein L43	MRPL43; large subunit ribosomal protein L43
K10357	MYO5; myosin V	MYO5; myosin V
K02934	RP-L6e, RPL6; large subunit ribosomal protein L6e	RP-L6e, RPL6; large subunit ribosomal protein L6e
K08675	PRSS15, PIM1; Lon-like ATP-dependent protease [EC:3.4.21.-]	PRSS15, PIM1; Lon-like ATP-dependent protease [EC:3.4.21.-]
K12452	ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]	ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]
K04508	TBL1; transducin (beta)-like 1	TBL1; transducin (beta)-like 1
K00967	PCYT2; ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]	PCYT2; ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]
K18060	MTPAP; poly(A) RNA polymerase, mitochondrial [EC:2.7.7.19]	MTPAP; poly(A) RNA polymerase, mitochondrial [EC:2.7.7.19]
K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K07390	grxD, GLRX5; monothiol glutaredoxin	grxD, GLRX5; monothiol glutaredoxin
K01940	argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]	Urea cycle
K02146	ATPeV0D, ATP6D; V-type H+-transporting ATPase subunit d	V-type ATPase
K12608	CAF16; CCR4-NOT complex subunit CAF16	CAF16; CCR4-NOT complex subunit CAF16
K17928	SNX16; sorting nexin-16	SNX16; sorting nexin-16
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K17681	ATAD3A_B; ATPase family AAA domain-containing protein 3A/B	ATAD3A_B; ATPase family AAA domain-containing protein 3A/B
K04437	FLNA; filamin	FLNA; filamin
K11498	CENPE; centromeric protein E	CENPE; centromeric protein E
K11585	CBX1, HP1B, SWI6; chromobox protein 1	CBX1, HP1B, SWI6; chromobox protein 1
K03953	NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9	NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9
K01312	PRSS1_2_3; trypsin [EC:3.4.21.4]	PRSS1_2_3; trypsin [EC:3.4.21.4]
K11099	SNRPG, SMG; small nuclear ribonucleoprotein G	SNRPG, SMG; small nuclear ribonucleoprotein G
K13821	putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]	putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]
K11338	RUVBL2, RVB2, INO80J; RuvB-like protein 2 [EC:3.6.4.12]	RUVBL2, RVB2, INO80J; RuvB-like protein 2 [EC:3.6.4.12]
K00815	TAT; tyrosine aminotransferase [EC:2.6.1.5]	TAT; tyrosine aminotransferase [EC:2.6.1.5]
K00643	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]
K00213	DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]	DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Calvin cycle
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Glycolysis
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Gluconeogenesis
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
K16777	NEURL4; neuralized-like protein 4	NEURL4; neuralized-like protein 4
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]
K11981	RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]	RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]
K02599	NOTCH1; Notch 1	NOTCH1; Notch 1
K12829	SF3B2, SAP145, CUS1; splicing factor 3B subunit 2	SF3B2, SAP145, CUS1; splicing factor 3B subunit 2
K16750	BLOC1S2; biogenesis of lysosome-related organelles complex 1 subunit 2	BLOC1S2; biogenesis of lysosome-related organelles complex 1 subunit 2
K10590	TRIP12; E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]	TRIP12; E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]
K01869	LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]	LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]
K03564	BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]	BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]
K17338	REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4	REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4
K19681	IFT52; intraflagellar transport protein 52	IFT52; intraflagellar transport protein 52
K19676	IFT172; intraflagellar transport protein 172	IFT172; intraflagellar transport protein 172
K05849	SLC8A, NCX; solute carrier family 8 (sodium/calcium exchanger)	SLC8A, NCX; solute carrier family 8 (sodium/calcium exchanger)
K10579	UBE2M, UBC12; ubiquitin-conjugating enzyme E2 M	UBE2M, UBC12; ubiquitin-conjugating enzyme E2 M
K15109	SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29	SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29
K02145	ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:3.6.3.14]	V-type ATPase
K19882	NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]	NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]
K13289	CTSA, CPY; cathepsin A (carboxypeptidase C) [EC:3.4.16.5]	Lysosome associated
K09186	MLL1; histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]	MLL1; histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]
K01201	GBA, srfJ; glucosylceramidase [EC:3.2.1.45]	GBA, srfJ; glucosylceramidase [EC:3.2.1.45]
K14857	SPB1, FTSJ3; AdoMet-dependent rRNA methyltransferase SPB1 [EC:2.1.1.-]	SPB1, FTSJ3; AdoMet-dependent rRNA methyltransferase SPB1 [EC:2.1.1.-]
K01507	ppa; inorganic pyrophosphatase [EC:3.6.1.1]	ppa; inorganic pyrophosphatase [EC:3.6.1.1]
K10808	RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]	RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]
K08592	SENP1; sentrin-specific protease 1 [EC:3.4.22.68]	SENP1; sentrin-specific protease 1 [EC:3.4.22.68]
K09140	TSR3; pre-rRNA-processing protein TSR3	TSR3; pre-rRNA-processing protein TSR3
K03703	uvrC; excinuclease ABC subunit C	uvrC; excinuclease ABC subunit C
K11279	NAP1L1, NRP; nucleosome assembly protein 1-like 1	NAP1L1, NRP; nucleosome assembly protein 1-like 1
K06675	SMC4; structural maintenance of chromosome 4	SMC4; structural maintenance of chromosome 4
K10444	KLHL6; kelch-like protein 6	KLHL6; kelch-like protein 6
K11804	WDR42A; WD repeat-containing protein 42A	WDR42A; WD repeat-containing protein 42A
K01702	LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]	LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]
K00863	DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
K09420	MYB; myb proto-oncogene protein	MYB; myb proto-oncogene protein
K06252	TN; tenascin	TN; tenascin
K08766	CPT2; carnitine O-palmitoyltransferase 2 [EC:2.3.1.21]	CPT2; carnitine O-palmitoyltransferase 2 [EC:2.3.1.21]
K09510	DNAJB4; DnaJ homolog subfamily B member 4	DNAJB4; DnaJ homolog subfamily B member 4
K15595	CDK17, PCTK2; cyclin-dependent kinase 17 [EC:2.7.11.22]	CDK17, PCTK2; cyclin-dependent kinase 17 [EC:2.7.11.22]
K02716	psbO; photosystem II oxygen-evolving enhancer protein 1	psbO; photosystem II oxygen-evolving enhancer protein 1
K03131	TAF6; transcription initiation factor TFIID subunit 6	TAF6; transcription initiation factor TFIID subunit 6
K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K01875	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]
K16603	TTLL9; tubulin polyglutamylase TTLL9 [EC:6.-.-.-]	TTLL9; tubulin polyglutamylase TTLL9 [EC:6.-.-.-]
K15030	EIF3M; translation initiation factor 3 subunit M	EIF3M; translation initiation factor 3 subunit M
K04739	PRKAR; cAMP-dependent protein kinase regulator	PRKAR; cAMP-dependent protein kinase regulator
K01382	CTSE; cathepsin E [EC:3.4.23.34]	Lysosome associated
K13523	AGPAT3_4; lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]	AGPAT3_4; lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]
K10686	UBE1C, UBA3; ubiquitin-activating enzyme E1 C [EC:6.2.1.45]	UBE1C, UBA3; ubiquitin-activating enzyme E1 C [EC:6.2.1.45]
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]
K09391	E2F7_8; transcription factor E2F7/8	E2F7_8; transcription factor E2F7/8
K03671	trxA; thioredoxin 1	trxA; thioredoxin 1
K01517	ADPRM; manganese-dependent ADP-ribose/CDP-alcohol diphosphatase [EC:3.6.1.13 3.6.1.16 3.6.1.53]	ADPRM; manganese-dependent ADP-ribose/CDP-alcohol diphosphatase [EC:3.6.1.13 3.6.1.16 3.6.1.53]
K04371	MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]	MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
K02726	PSMA2; 20S proteasome subunit alpha 2 [EC:3.4.25.1]	PSMA2; 20S proteasome subunit alpha 2 [EC:3.4.25.1]
K08798	MARK; MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]	MARK; MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]
K10388	PLEC; plectin	PLEC; plectin
K03357	APC10, DOC1; anaphase-promoting complex subunit 10	APC10, DOC1; anaphase-promoting complex subunit 10
K10108	malE; maltose/maltodextrin transport system substrate-binding protein	malE; maltose/maltodextrin transport system substrate-binding protein
K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
K08838	STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]	STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]
K00791	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]
K05865	TNNC1; troponin C, slow skeletal and cardiac muscles	TNNC1; troponin C, slow skeletal and cardiac muscles
K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	Fatty acid biosynthesis
K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
K18447	NUDX14; ADP-sugar diphosphatase [EC:3.6.1.21]	NUDX14; ADP-sugar diphosphatase [EC:3.6.1.21]
K17609	NXN; nucleoredoxin [EC:1.8.1.8]	NXN; nucleoredoxin [EC:1.8.1.8]
K13717	OTUD3; OTU domain-containing protein 3 [EC:3.4.19.12]	OTUD3; OTU domain-containing protein 3 [EC:3.4.19.12]
K02900	RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae	RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae
K13806	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]
K02943	RP-LP2, RPLP2; large subunit ribosomal protein LP2	RP-LP2, RPLP2; large subunit ribosomal protein LP2
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	Glycolysis
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	Gluconeogenesis
K02183	CALM; calmodulin	CALM; calmodulin
K02449	CDK10; cyclin-dependent kinase 10 [EC:2.7.11.22]	CDK10; cyclin-dependent kinase 10 [EC:2.7.11.22]
K13412	CPK; calcium-dependent protein kinase [EC:2.7.11.1]	CPK; calcium-dependent protein kinase [EC:2.7.11.1]
K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]
K09580	PDIA1, P4HB; protein disulfide-isomerase A1 [EC:5.3.4.1]	PDIA1, P4HB; protein disulfide-isomerase A1 [EC:5.3.4.1]
K12840	RBM17, SPF45; splicing factor 45	RBM17, SPF45; splicing factor 45
K01881	PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]	PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]
K05658	ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]	ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]
K02941	RP-LP0, RPLP0; large subunit ribosomal protein LP0	RP-LP0, RPLP0; large subunit ribosomal protein LP0
K02922	RP-L37e, RPL37; large subunit ribosomal protein L37e	RP-L37e, RPL37; large subunit ribosomal protein L37e
K02212	MCM4, CDC54; DNA replication licensing factor MCM4 [EC:3.6.4.12]	MCM4, CDC54; DNA replication licensing factor MCM4 [EC:3.6.4.12]
K17263	CAND1; cullin-associated NEDD8-dissociated protein 1	CAND1; cullin-associated NEDD8-dissociated protein 1
K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A
K08915	LHCB4; light-harvesting complex II chlorophyll a/b binding protein 4	LHCB4; light-harvesting complex II chlorophyll a/b binding protein 4
K17495	CSMD; CUB and sushi domain-containing protein	CSMD; CUB and sushi domain-containing protein
K12823	DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]	DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]
K02893	RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae	RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae
K04794	PTH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]	PTH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]
K01669	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K12811	DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]	DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]
K00670	NAA30, MAK3; N-alpha-acetyltransferase 30 [EC:2.3.1.256]	NAA30, MAK3; N-alpha-acetyltransferase 30 [EC:2.3.1.256]
K06491	NCAM, CD56; neural cell adhesion molecule	NCAM, CD56; neural cell adhesion molecule
K05869	CAMK4; calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17]	CAMK4; calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17]
K03869	CUL3; cullin 3	CUL3; cullin 3
K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	MDH2; malate dehydrogenase [EC:1.1.1.37]
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	TCA cycle
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	Glyoxylate cycle
K03248	EIF3G; translation initiation factor 3 subunit G	EIF3G; translation initiation factor 3 subunit G
K02935	RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12	RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12
K04812	CHRNB1; nicotinic acetylcholine receptor beta-1	CHRNB1; nicotinic acetylcholine receptor beta-1
K04468	NLK; nemo like kinase [EC:2.7.11.24]	NLK; nemo like kinase [EC:2.7.11.24]
K12815	DHX38, PRP16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]	DHX38, PRP16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]
K03259	EIF4E; translation initiation factor 4E	EIF4E; translation initiation factor 4E
K12828	SF3B1, SAP155; splicing factor 3B subunit 1	SF3B1, SAP155; splicing factor 3B subunit 1
K08333	PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]	PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]
K01872	AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]	AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]
K06641	CHK2; serine/threonine-protein kinase Chk2 [EC:2.7.11.1]	CHK2; serine/threonine-protein kinase Chk2 [EC:2.7.11.1]
K12604	CNOT1, NOT1; CCR4-NOT transcription complex subunit 1	CNOT1, NOT1; CCR4-NOT transcription complex subunit 1
K07963	TRIM23, ARFD1; tripartite motif-containing protein 23 [EC:2.3.2.27]	TRIM23, ARFD1; tripartite motif-containing protein 23 [EC:2.3.2.27]
